"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","FormattedSpread","LineProvider","OverUnder","Spread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401761619","Old Dominion","47","Coastal Carolina","7","Old Dominion -18.5","DraftKings","53.5","-18.5","-15","","-1000","650"
"401762477","Rice","21","Florida Atlantic","27","Rice -4.5","DraftKings","54.5","-4.5","-5.5","","-198","164"
"401754577","Clemson","45","Duke","46","Clemson -4","DraftKings","54.5","-4","-3.5","","-180","150"
"401752888","Minnesota","23","Michigan State","20","Minnesota -4.5","DraftKings","44.5","-4.5","-5.5","","-198","164"
"401754576","California","21","Virginia","31","Virginia -6.5","DraftKings","52.5","6.5","4","","190","-230"
"401752756","Ole Miss","30","South Carolina","14","Ole Miss -12.5","DraftKings","55.5","-12.5","-13.5","","-500","380"
"401752757","Tennessee","27","Oklahoma","33","Tennessee -3","DraftKings","55.5","-3","-2.5","","-155","130"
"401754531","Wake Forest","24","NC State","34","NC State -7.5","DraftKings","52.5","7.5","","","240","-298"
"401756911","Baylor","35","Kansas State","34","Baylor -4.5","DraftKings","59.5","-4.5","-5.5","","-192","160"
"401762839","Bowling Green","6","Central Michigan","27","Bowling Green -3","DraftKings","43.5","-3","-5.5","","-155","130"
"401760419","Wyoming","7","Nevada","13","Wyoming -6","DraftKings","39.5","-6","-10","","-230","190"
"401752744","South Carolina","7","Oklahoma","26","Oklahoma -4.5","DraftKings","42.5","4.5","3.5","","160","-192"
"401752913","Iowa","20","Michigan State","17","Iowa -17.5","DraftKings","42.5","-17.5","-15.5","","-850","575"
"401752938","Texas Tech","45","Oregon State","14","Texas Tech -24.5","DraftKings","61.5","-24.5","","","-2400","1200"
"401752827","Ohio State","37","Ohio","9","Ohio State -28.5","DraftKings","49.5","-28.5","","51.5","-4500","1700"
"401760416","Boise State","49","Colorado State","21","Boise State -17.5","DraftKings","45.5","-17.5","-17.5","","-950","625"
"401754536","Virginia Tech","26","Old Dominion","45","Virginia Tech -5.5","DraftKings","50.5","-5.5","","","-225","185"
"401760422","Utah State","24","Boise State","25","Boise State -1.5","DraftKings","54.5","1.5","","55.5","102","-122"
"401752918","Minnesota","17","Wisconsin","7","Wisconsin -2.5","DraftKings","38.5","2.5","-2.5","","120","-142"
"401752704","South Carolina","7","Vanderbilt","31","South Carolina -3","DraftKings","48.5","-3","","","-155","130"
"401752713","Missouri","29","South Carolina","20","Missouri -10","DraftKings","48.5","-10","-3","","-355","280"
"401762465","Tulsa","23","Navy","42","Navy -14","DraftKings","52.5","14","","","425","-575"
"401757166","Notre Dame","49","Navy","10","Notre Dame -30.5","DraftKings","54.5","-30.5","-24.5","","-6500","2000"
"401752789","Oklahoma","17","LSU","13","Oklahoma -11.5","DraftKings","36.5","-11.5","-8.5","","-500","380"
"401760417","Fresno State","17","Utah State","28","Fresno State -1.5","DraftKings","50.5","-1.5","-1.5","","-125","105"
"401754541","Florida State","66","Kent State","10","Florida State -44.5","DraftKings","56.5","-44.5","-45.5","","",""
"401752700","Ole Miss","41","Arkansas","35","Ole Miss -3.5","DraftKings","60.5","-3.5","","","-175","145"
"401760369","Fresno State","56","Southern","7","Fresno State -37.5","DraftKings","51.5","-37.5","-35.5","","",""
"401752840","California","27","Minnesota","14","Minnesota -3","DraftKings","41.5","3","","","136","-162"
"401754569","Boston College","23","UConn","38","UConn -2.5","DraftKings","58.5","2.5","-2.5","","110","-130"
"401754565","Clemson","24","SMU","35","Clemson -3.5","DraftKings","49.5","-3.5","-11.5","","-180","150"
"401756923","Arizona State","26","Texas Tech","22","Texas Tech -7.5","DraftKings","52.5","7.5","-4","","260","-325"
"401754568","Syracuse","13","Pittsburgh","30","Pittsburgh -9.5","DraftKings","54.5","9.5","10.5","","280","-355"
"401756924","BYU","24","Utah","21","Utah -4","DraftKings","49.5","4","2.5","","170","-205"
"401756910","Arizona","41","Oklahoma State","13","Arizona -21.5","DraftKings","56.5","-21.5","-17.5","","-1600","900"
"401754617","Virginia Tech","38","Wofford","6","Virginia Tech -34.5","DraftKings","51.5","-34.5","-35.5","","",""
"401757307","Louisiana Tech","34","Liberty","28","Liberty -1.5","DraftKings","45.5","1.5","1.5","","-105","-115"
