"home","away","margin","week","site","FBS","home_conf","away_conf","home_AP","away_AP"
"LIB","NMSU",3,8,1,1,"cUSA","cUSA",NA,NA
"USA","ARST",-1,8,1,1,"SUNBELT","SUNBELT",NA,NA
"WKU","FIU",-19,8,1,1,"cUSA","cUSA",NA,NA
"JVST","DEL",13,8,1,1,"cUSA","cUSA",NA,NA
"SHSU","UTEP",-18,8,1,1,"cUSA","cUSA",NA,NA
"ECU","TLSA",14,8,1,1,"AMERICAN","AMERICAN",NA,NA
"MIA","LOU",-3,8,1,1,"ACC","ACC",2,NA
"MINN","NEB",18,8,1,1,"BIG10","BIG10",NA,25
"USU","SJSU",5,8,1,1,"MTNWEST","MTNWEST",NA,NA
"CAL","UNC",3,8,1,1,"ACC","ACC",NA,NA
"WIS","OSU",-34,8,1,1,"BIG10","BIG10",NA,1
"IU","MSU",25,8,1,1,"BIG10","BIG10",3,NA
"ARK","TA&M",-3,8,1,1,"SEC","SEC",NA,4
"UGA","MISS",8,8,1,1,"SEC","SEC",9,5
"ALA","TENN",17,8,1,1,"SEC","SEC",6,11
"ASU","TTU",4,8,1,1,"BIG12","BIG12",NA,7
"RUTG","ORE",-46,8,1,1,"BIG10","BIG10",NA,8
"VAN","LSU",7,8,1,1,"SEC","SEC",17,10
"DUKE","GT",-9,8,1,1,"ACC","ACC",NA,12
"ND","USC",10,8,1,1,"ind","BIG10",13,20
"SC","OU",-19,8,1,1,"SEC","SEC",NA,14
"BYU","UTAH",3,8,1,1,"BIG12","BIG12",15,23
"AUB","MIZ",-6,8,1,1,"SEC","SEC",NA,16
"UVA","WSU",2,8,1,1,"ACC","PAC12",18,NA
"USF","FAU",35,8,1,1,"AMERICAN","AMERICAN",19,NA
"UK","TEX",-3,8,1,1,"SEC","SEC",NA,21
"UAB","MEM",7,8,1,1,"AMERICAN","AMERICAN",NA,22
"OKST","CIN",-32,8,1,1,"BIG12","BIG12",NA,24
"MICH","WASH",17,8,1,1,"BIG10","BIG10",NA,NA
